time,seconds_elapsed,z,y,x
1711545069729534200,0.1585341796875,-12.425000190734863,-71.67500305175781,-6.450000286102295
1711545069739534300,0.168534423828125,-12.800000190734863,-71.7249984741211,-6.450000286102295
1711545069749534200,0.1785341796875,-36.57500076293945,-30.387500762939453,-2.875
1711545069759534300,0.188534423828125,-36.72500228881836,-30.375,-2.9125001430511475
1711545069769534200,0.1985341796875,-36.63750076293945,-30.30000114440918,-2.9125001430511475
1711545069779534300,0.208534423828125,-36.60000228881836,-30.287500381469727,-2.9125001430511475
1711545069789534200,0.2185341796875,-36.60000228881836,-30.287500381469727,-2.9375
1711545069799534300,0.228534423828125,-36.625,-30.3125,-2.9625000953674316
1711545069809534200,0.2385341796875,-36.78750228881836,-30.350000381469727,-2.9750001430511475
1711545069819534300,0.248534423828125,-36.900001525878906,-30.36250114440918,-2.9750001430511475
1711545069829534200,0.2585341796875,-36.85000228881836,-30.30000114440918,-2.9625000953674316
1711545069839534300,0.268534423828125,-36.837501525878906,-30.287500381469727,-2.9750001430511475
1711545069849534200,0.2785341796875,-36.9375,-30.36250114440918,-2.987499952316284
1711545069859534300,0.288534423828125,-37.03750228881836,-30.399999618530273,-2.987499952316284
1711545069869534200,0.2985341796875,-37.1875,-30.387500762939453,-2.9750001430511475
1711545069879534300,0.308534423828125,-37.35000228881836,-30.325000762939453,-2.950000047683716
1711545069889534200,0.3185341796875,-37.45000076293945,-30.23750114440918,-2.9125001430511475
1711545069899534300,0.328534423828125,-37.5625,-30.162500381469727,-2.924999952316284
1711545069909534200,0.3385341796875,-37.73749923706055,-30.137500762939453,-2.950000047683716
1711545069919534300,0.348534423828125,-37.86249923706055,-30.137500762939453,-2.9125001430511475
1711545069929534200,0.3585341796875,-37.91250228881836,-30.11250114440918,-2.862499952316284
1711545069939534300,0.368534423828125,-37.962501525878906,-30.100000381469727,-2.8375000953674316
1711545069949534200,0.3785341796875,-37.95000076293945,-30.137500762939453,-2.8375000953674316
1711545069959534300,0.388534423828125,-37.91250228881836,-30.225000381469727,-2.8375000953674316
1711545069969534200,0.3985341796875,-37.900001525878906,-30.3125,-2.8500001430511475
1711545069979534300,0.408534423828125,-37.837501525878906,-30.36250114440918,-2.8375000953674316
1711545069989534200,0.4185341796875,-37.72500228881836,-30.387500762939453,-2.7750000953674316
