time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1711545069962076000,0.391075927734375,-0.9288702607154846,-0.3315786123275757,0.039667028933763504,0.16025660932064056,-0.04191337525844574,-0.6798813939094543,2.78507399559021
1711545069972080600,0.40108056640625,-0.9288689494132996,-0.3316083252429962,0.0394715815782547,0.16025112569332123,-0.04238802194595337,-0.6798701882362366,2.7849173545837402
1711545069982076200,0.411076171875,-0.9288582801818848,-0.33167994022369385,0.03921345993876457,0.16022801399230957,-0.043017953634262085,-0.6799234747886658,2.7847375869750977
1711545069992078000,0.421078125,-0.9288457036018372,-0.33175161480903625,0.03899836167693138,0.16020499169826508,-0.0435459241271019,-0.6799929738044739,2.784592628479004
1711545070002059800,0.431059814453125,-0.928803563117981,-0.33188876509666443,0.03885212540626526,0.16020071506500244,-0.043960969895124435,-0.6802240014076233,2.7844338417053223
1711545070012074200,0.44107421875,-0.9286849498748779,-0.3322308659553528,0.03873516246676445,0.16020764410495758,-0.044423658400774,-0.6808927655220032,2.784196138381958
1711545070022073600,0.451073486328125,-0.9285077452659607,-0.33273983001708984,0.0387243889272213,0.16018104553222656,-0.04469277337193489,-0.6819509267807007,2.7840657234191895
1711545070032073500,0.461073486328125,-0.9282923340797424,-0.33337292075157166,0.03878072276711464,0.16009967029094696,-0.04481999948620796,-0.6832961440086365,2.784079074859619
1711545070042073300,0.4710732421875,-0.9280902743339539,-0.33398643136024475,0.03889812156558037,0.15996390581130981,-0.04474399611353874,-0.6846264600753784,2.7842838764190674
1711545070052073200,0.4810732421875,-0.9279451370239258,-0.33444735407829285,0.03889275714755058,0.1598440706729889,-0.04489384964108467,-0.6855917572975159,2.7844045162200928
1711545070062064400,0.491064453125,-0.9278637170791626,-0.3347568213939667,0.038669515401124954,0.15972329676151276,-0.04548228904604912,-0.6861591339111328,2.7844033241271973
1711545070072064300,0.501064208984375,-0.9278708696365356,-0.33482709527015686,0.038334742188453674,0.1596149504184723,-0.046221546828746796,-0.6861849427223206,2.784367799758911
1711545070082073600,0.511073486328125,-0.9279317259788513,-0.3347265124320984,0.0378144197165966,0.15959623456001282,-0.047391533851623535,-0.685779869556427,2.7840216159820557
1711545070092074500,0.521074462890625,-0.9280184507369995,-0.3344963490962982,0.03716374561190605,0.15972717106342316,-0.04893425479531288,-0.6850473284721375,2.783247947692871
1711545070102074600,0.53107470703125,-0.9280474185943604,-0.3344041705131531,0.036725517362356186,0.15985329449176788,-0.050039201974868774,-0.6846827268600464,2.7826104164123535
1711545070112075300,0.5410751953125,-0.9280494451522827,-0.3343767821788788,0.036459606140851974,0.15995962917804718,-0.050750792026519775,-0.6845191717147827,2.782139539718628
1711545070122075000,0.551074951171875,-0.9280332326889038,-0.33442890644073486,0.03632038086652756,0.15997639298439026,-0.05112464353442192,-0.6845740675926208,2.78196382522583
1711545070132061400,0.5610615234375,-0.9279018640518188,-0.33486446738243103,0.036161668598651886,0.15986327826976776,-0.051635947078466415,-0.685428261756897,2.7819459438323975
1711545070142081500,0.57108154296875,-0.927754819393158,-0.33532682061195374,0.03626001998782158,0.1597253531217575,-0.05152779445052147,-0.6864373087882996,2.782191038131714
1711545070152088000,0.581088134765625,-0.9275109767913818,-0.3361247777938843,0.03642730414867401,0.15942597389221191,-0.051291875541210175,-0.6881816387176514,2.782764196395874
1711545070162077000,0.591076904296875,-0.927159309387207,-0.3373233377933502,0.036343757063150406,0.1589583307504654,-0.051718734204769135,-0.6906771063804626,2.7833914756774902
1711545070172085500,0.60108544921875,-0.9268290400505066,-0.33856144547462463,0.036103107035160065,0.1583055704832077,-0.05237638205289841,-0.6932076811790466,2.784329652786255
1711545070182073600,0.611073486328125,-0.9265806078910828,-0.3396393656730652,0.03575722500681877,0.15752747654914856,-0.05308612808585167,-0.6953731775283813,2.785551071166992
1711545070192069600,0.621069580078125,-0.9265015125274658,-0.34029421210289,0.035355743020772934,0.15666772425174713,-0.053626514971256256,-0.6966402530670166,2.787092447280884
1711545070202073600,0.631073486328125,-0.9264825582504272,-0.3408568501472473,0.03487880155444145,0.15566028654575348,-0.05416356772184372,-0.6976966857910156,2.788972854614258
1711545070212073200,0.6410732421875,-0.9264910221099854,-0.3414333462715149,0.0343414843082428,0.1544613540172577,-0.05467797815799713,-0.6987729668617249,2.7912728786468506
1711545070222073600,0.651073486328125,-0.9266411662101746,-0.34168198704719543,0.03382977843284607,0.15311788022518158,-0.054823487997055054,-0.6991836428642273,2.794081687927246
1711545070232073700,0.66107373046875,-0.9270128607749939,-0.34135735034942627,0.03372809663414955,0.15160730481147766,-0.053529445081949234,-0.6985554695129395,2.797875165939331
1711545070242074600,0.67107470703125,-0.9274004697799683,-0.3409748673439026,0.03362034633755684,0.1501137763261795,-0.052239932119846344,-0.6978009939193726,2.80163836479187
1711545070252074800,0.68107470703125,-0.928003191947937,-0.34000658988952637,0.033526696264743805,0.1485987901687622,-0.050604112446308136,-0.6958244442939758,2.805677890777588
1711545070262068200,0.691068115234375,-0.9286074638366699,-0.3390621840953827,0.03339911624789238,0.14700165390968323,-0.04900212213397026,-0.6938877701759338,2.809870958328247
1711545070272070000,0.70106982421875,-0.9291113615036011,-0.3384534418582916,0.03298835828900337,0.14530357718467712,-0.04816905036568642,-0.6925587058067322,2.8139429092407227
1711545070282075000,0.711074951171875,-0.929614245891571,-0.337933212518692,0.0322265625,0.1434570848941803,-0.0480981171131134,-0.6913026571273804,2.818046808242798
