time,seconds_elapsed,z,y,x
1711545069696592100,0.125592041015625,7.561285972595215,6.24167537689209,0.19703958928585052
1711545069715474400,0.144474365234375,7.517770290374756,6.293774127960205,0.20476439595222473
1711545069734356700,0.163356689453125,7.476597309112549,6.3422088623046875,0.21741273999214172
1711545069753239000,0.182239013671875,7.455597400665283,6.366185665130615,0.2369261533021927
1711545069772121600,0.20112158203125,7.444375514984131,6.378380298614502,0.2606273293495178
1711545069791004000,0.22000390625,7.442355155944824,6.379316806793213,0.2933448851108551
1711545069809886200,0.23888623046875,7.440567970275879,6.380599021911621,0.31031203269958496
1711545069828768500,0.2577685546875,7.439876079559326,6.381787300109863,0.30235400795936584
1711545069847650800,0.27665087890625,7.436068058013916,6.387066841125488,0.2839936316013336
1711545069866533400,0.295533447265625,7.4338884353637695,6.390256404876709,0.2688901126384735
1711545069885415700,0.314415771484375,7.436631679534912,6.387650012969971,0.25460726022720337
1711545069904298000,0.333298095703125,7.441742897033691,6.382291793823242,0.2392003983259201
1711545069923180300,0.35218017578125,7.44779109954834,6.375640392303467,0.22802701592445374
1711545069942062600,0.3710625,7.452585220336914,6.370151519775391,0.22476835548877716
1711545069960945200,0.389945068359375,7.454186916351318,6.368261337280273,0.22525867819786072
1711545069979827500,0.408827392578125,7.4535908699035645,6.368829727172852,0.22885723412036896
1711545069998709800,0.427709716796875,7.449113845825195,6.373980522155762,0.23121581971645355
1711545070017592000,0.446592041015625,7.437375545501709,6.387742042541504,0.22932612895965576
1711545070036474600,0.465474609375,7.425114631652832,6.402167320251465,0.22433996200561523
1711545070055357000,0.48435693359375,7.419636249542236,6.4083147048950195,0.2299528867006302
1711545070074239200,0.5032392578125,7.4219584465026855,6.40515661239624,0.2426520586013794
1711545070093121500,0.52212158203125,7.4243669509887695,6.40215539932251,0.24813881516456604
1711545070112003800,0.54100390625,7.419434070587158,6.407905578613281,0.2472705990076065
1711545070130886400,0.559886474609375,7.4113450050354,6.417486190795898,0.24130500853061676
1711545070149768700,0.578768798828125,7.396071434020996,6.435216903686523,0.23769526183605194
1711545070168651000,0.597651123046875,7.3802947998046875,6.4531965255737305,0.24062441289424896
1711545070187533300,0.616533203125,7.372282981872559,6.462295055389404,0.2420150190591812
1711545070206416000,0.635415771484375,7.371539115905762,6.463085651397705,0.24353797733783722
1711545070225298200,0.654298095703125,7.381117820739746,6.452458381652832,0.23508664965629578
1711545070244180500,0.673180419921875,7.394479751586914,6.437549114227295,0.2236160784959793
1711545070263062800,0.692062744140625,7.40664005279541,6.4234700202941895,0.22610390186309814
1711545070281945300,0.7109453125,7.424088001251221,6.402764320373535,0.24067163467407227
1711545070300827600,0.72982763671875,7.454411506652832,6.3675618171691895,0.23725104331970215
1711545070319710000,0.7487099609375,7.490098476409912,6.32680606842041,0.2008378952741623
1711545070338592300,0.76759228515625,7.521157264709473,6.291342258453369,0.1469540297985077
1711545070357474800,0.786474853515625,7.548016548156738,6.260134696960449,0.09248261153697968
1711545070376357000,0.805357177734375,7.570747375488281,6.233190536499023,0.03901692479848862
1711545070395239400,0.824239501953125,7.585646152496338,6.215170383453369,-0.004442053381353617
1711545070414121700,0.843121826171875,7.585577011108398,6.215217590332031,-0.022109944373369217
1711545070433004300,0.86200439453125,7.578822612762451,6.2234086990356445,-0.031647928059101105
1711545070451886600,0.880886474609375,7.574563980102539,6.228490352630615,-0.047803398221731186
1711545070470769000,0.899768798828125,7.577127933502197,6.225185394287109,-0.0677499920129776
1711545070489651500,0.9186513671875,7.583551406860352,6.216989994049072,-0.09577459841966629
1711545070508533800,0.93753369140625,7.597223281860352,6.199350833892822,-0.14362095296382904
1711545070527416000,0.956416015625,7.620744705200195,6.168332576751709,-0.2151721864938736
1711545070546298400,0.97529833984375,7.651002883911133,6.127680778503418,-0.28997743129730225
1711545070565181000,0.994180908203125,7.677611351013184,6.090918064117432,-0.3541024625301361
1711545070584063200,1.013063232421875,7.696462631225586,6.063808917999268,-0.4063088595867157
1711545070602945500,1.031945556640625,7.704794406890869,6.050266265869141,-0.4481258988380432
1711545070621828000,1.050828125,7.7059807777404785,6.045187473297119,-0.4939136803150177
1711545070640710400,1.06971044921875,7.711938858032227,6.033090114593506,-0.5460805892944336
1711545070659592700,1.0885927734375,7.71891975402832,6.021725654602051,-0.5722659826278687
1711545070678475300,1.107475341796875,7.722775459289551,6.013526916503906,-0.6054916381835938
1711545070697357600,1.126357666015625,7.726833343505859,6.005188465118408,-0.6357178092002869
1711545070716240000,1.145239990234375,7.725033760070801,6.004382133483887,-0.664546549320221
1711545070735122200,1.1641220703125,7.722002983093262,6.007101058959961,-0.6751309037208557
1711545070754004700,1.183004638671875,7.726259708404541,6.001204967498779,-0.6788566708564758
1711545070772887000,1.201886962890625,7.73508358001709,5.989492893218994,-0.6817941069602966
1711545070791769300,1.220769287109375,7.741870403289795,5.980490684509277,-0.6837905645370483
1711545070810652000,1.23965185546875,7.745759010314941,5.975873947143555,-0.6800970435142517
1711545070829534200,1.2585341796875,7.747965335845947,5.974065780639648,-0.6707800626754761
1711545070848416500,1.27741650390625,7.759427547454834,5.959234714508057,-0.6702231764793396
1711545070867298800,1.296298828125,7.7829060554504395,5.927082061767578,-0.6829758882522583
1711545070886181400,1.315181396484375,7.805435657501221,5.894458293914795,-0.707761824131012
1711545070905063700,1.334063720703125,7.822474956512451,5.867274761199951,-0.7445468306541443
1711545070923946200,1.3529462890625,7.83847188949585,5.8422088623046875,-0.7728853821754456
1711545070942828500,1.37182861328125,7.854326248168945,5.815089225769043,-0.815280556678772
1711545070961710800,1.3907109375,7.86691951751709,5.790771484375,-0.8654075860977173
1711545070980593400,1.409593505859375,7.875608444213867,5.770644187927246,-0.9191515445709229
1711545070999475700,1.428475830078125,7.879884243011475,5.757314205169678,-0.9649565815925598
1711545071018358000,1.44735791015625,7.8846001625061035,5.74690055847168,-0.9882319569587708
1711545071037240300,1.466240234375,7.889553546905518,5.737215042114258,-1.0048409700393677
1711545071056123000,1.485122802734375,7.8980393409729,5.726011276245117,-1.0020784139633179
1711545071075005200,1.504005126953125,7.909728050231934,5.710442543029785,-0.9987229704856873
1711545071093887700,1.5228876953125,7.9202399253845215,5.69651985168457,-0.9949055910110474
1711545071112770000,1.54177001953125,7.92765998840332,5.687129974365234,-0.9895194172859192
1711545071131652400,1.56065234375,7.930098056793213,5.6851630210876465,-0.9812545776367188
1711545071150535000,1.579534912109375,7.9239397048950195,5.695619583129883,-0.9702991843223572
1711545071169417200,1.598417236328125,7.911588191986084,5.715734481811523,-0.9526411294937134
1711545071188299500,1.617299560546875,7.898770809173584,5.736544609069824,-0.9337366819381714
1711545071207182000,1.63618212890625,7.890835285186768,5.749900817871094,-0.9185664653778076
1711545071226064400,1.655064453125,7.8912672996521,5.751198768615723,-0.9066441655158997
1711545071244946700,1.67394677734375,7.894585609436035,5.749929904937744,-0.8855516910552979
1711545071263829200,1.692829345703125,7.895074367523193,5.753881931304932,-0.8550019860267639
1711545071282711600,1.711711669921875,7.887173175811768,5.771745204925537,-0.8061326742172241
1711545071301594000,1.730593994140625,7.871260643005371,5.802582263946533,-0.737351655960083
